"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_POSITIVE_REGULATION_OF_LOCOMOTION","GOBP_POSITIVE_REGULATION_OF_LOCOMOTION","GOBP_POSITIVE_REGULATION_OF_LOCOMOTION",418,0.489699357703469,1.8079400774095,3.35447674659096e-10,1.46724812895888e-06,1.28705976224464e-06,2567,"tags=38%, list=18%, signal=32%","ACTA2/GFUS/PDGFB/SPHK1/TBC1D24/TRIM32/DEFB1/TACR1/TNFSF14/PLET1/ZNF703/HAS2/VEGFC/FGF2/SLIT2/CAV1/CCBE1/FN1/CCL20/EGFR/CCL8/PRKD1/GREM1/CDH13/CCL7/THY1/SNAI2/COL1A1/ACKR3/SERPINE1/CEMIP/MDK/GAS6/TWIST2/FBLN1/TPBG/RHOB/ITGA2/TJP1/ADAMTS1/EPHA4/MYLK/JAM2/F3/IL6/CCL13/PODXL/TREM2/CCL18/LGALS3/CCL3/FERMT2/CCL23/CTTN/PDPN/SRPX2/WNT5B/PDGFRA/HPSE/TGFB2/CFAP69/MMP9/S100A11/CCL2/SEMA5A/PTGS2/LAMB1/IL1B/SASH1/RHOC/SPARC/RRAS/PERP/SCG2/NRP2/LGMN/DDR2/C5AR1/CCL24/CAVIN1/PDGFA/TWIST1/CCL3L3/PLA2G7/CD74/RRAS2/CLEC7A/TRPV4/MMP14/DOCK1/CXCL16/FGFR1/CCR7/HRAS/SHTN1/DAB2/ENPP2/CSF1/CCR1/GRN/JAM3/CTSH/MYO1C/EPHB2/IGSF8/PIK3R3/SEMA3C/C3AR1/ICAM1/VEGFB/ITGB3/AIF1/CD151/PTK2/MET/TALAM1/TNF/CCR6/ITGB1/SEMA3A/FZD4/WNT5A/JUN/SOD2/DOCK4/STX4/RNF7/CD40/MMP2/CD99/CCL4/PLAU/CXCL8/MIEN1/CCL5/GATA3/HMOX1/EPB41L5/PLK2/SELENOK/ANXA1/HSPA8/FAM89B/ADAM9/TGFBR3/CSF2/PLCG1/SPOCK2/CIB1/HBEGF/RAP2A/SDCBP/SLAMF1/PLPP3/GPNMB/RAC1/TNFRSF14/HSPB1/CMKLR1/SYNE2"
"GOBP_RESPONSE_TO_WOUNDING","GOBP_RESPONSE_TO_WOUNDING","GOBP_RESPONSE_TO_WOUNDING",387,0.499208401034277,1.82956902708627,1.46913637493258e-09,3.21300125197755e-06,2.8184221508575e-06,2090,"tags=34%, list=15%, signal=29%","CHMP6/SMPD1/TMIGD3/SRF/HPS6/PDGFB/ANGPTL6/BLOC1S3/ADORA3/PLET1/KCNK2/TSKU/MATN2/PLAT/TFPI2/MYL9/NEFL/SVEP1/FKBP10/FGF2/CAV1/SERPINE2/FN1/COL6A1/MAP1B/FAP/YAP1/SERPINE1/COL3A1/ANGPTL2/PRKG1/MDK/GAS6/AXL/FBLN1/ITGA2/EPHA4/MYLK/COL5A1/IL1A/TNFRSF12A/NFIB/F3/IL6/PROCR/C1QTNF1/TREM2/ANGPTL4/FERMT2/DCBLD2/INHBA/TIMP1/PDPN/PDGFRA/HPSE/CCN2/TGFB2/CD9/SPP1/ANXA5/ADAMDEC1/TNC/MMP12/RHOC/DPYSL3/FCER1G/S100A10/FOSL1/ANGPTL1/ACVRL1/PTPRS/DDR2/PF4/ITPR3/PDGFA/TSPAN9/SERPING1/PHLDB2/KLF4/TYROBP/MYL12A/CD59/DST/SYTL4/SDC4/ADTRP/CLEC7A/APOE/IL10/MYOF/CDKN1A/HRAS/BNIP3/CCR1/PLAUR/GRN/KIAA0319/ANXA2/EPHB2/PTPRF/VEGFB/ITGB3/CD151/PTK2/CHMP2B/TPM1/LCK/TNF/CD109/CLIC1/ENPP4/ITGB1/DSG2/WNT5A/VKORC1/CORO1B/JUN/SOD2/PDIA3/CHMP5/ILK/THBD/CD40/MMP2/SLC11A1/SERPINB2/F13A1/TFPI/PLAU/CSRP1"
"GOBP_RESPONSE_TO_GROWTH_FACTOR","GOBP_RESPONSE_TO_GROWTH_FACTOR","GOBP_RESPONSE_TO_GROWTH_FACTOR",487,0.459391795402461,1.72755419871442,2.59104589359835e-09,3.7777449128664e-06,3.31381132707579e-06,1990,"tags=24%, list=14%, signal=21%","SHC1/HYAL2/ACTA2/VEPH1/PDGFB/SPHK1/PMEPA1/TGFB1I1/LTBP2/FOXD1/SPRED3/TMEM204/TBX20/HTRA1/MSX1/ZNF703/DKK3/HAS2/FST/FGF5/BMPER/VEGFC/COL1A2/FGF2/SLIT2/CAV1/CCBE1/EGFR/PRKD1/FSTL1/GREM1/COL4A2/SNAI2/COL1A1/MAP1B/CAV2/COL3A1/GAS6/BDNF/SFRP1/DKK1/RGMB/LOX/NR2F2/DCN/USP9Y/ITGA3/NDN/HES1/GPC1/FOXC1/ERRFI1/FERMT2/TGFBR3L/MAGI2/VASN/PDGFRA/CCN2/SPRY4/TGFB2/GDF15/CCL2/IL1B/ID1/ADAMTS12/ACVRL1/FBN2/NRP2/LGMN/DDR2/KCP/PTPRK/KLF4/DMD/RGCC/ACVR1C/LTBP4/IL10/NBL1/CD63/CRIM1/FGFR1/DAB2/SNX6/MYO1C/FLRT2/EHD4/HFE/PDE2A/VEGFB/ITGB3/PTK2/GAREM1/GIPC1/EID2/MEIS2/SPINT1/DDIT4/CDCP1/CD109/ATF3/ITGB1/CDKN2B/SKP1/FZD4/CREB3L1/TOB1/WNT5A/CORO1B/BAMBI/JUN/ILK/GREM2/PCSK6/BMPR1A/FOS"
"GOBP_WOUND_HEALING","GOBP_WOUND_HEALING","GOBP_WOUND_HEALING",295,0.51258946567904,1.83609594570288,6.15411970805345e-09,6.72952990075645e-06,5.90309640417232e-06,2090,"tags=34%, list=15%, signal=29%","CHMP6/SMPD1/SRF/HPS6/PDGFB/ANGPTL6/BLOC1S3/PLET1/TSKU/PLAT/TFPI2/MYL9/SVEP1/FKBP10/FGF2/CAV1/SERPINE2/FN1/FAP/YAP1/SERPINE1/COL3A1/ANGPTL2/PRKG1/GAS6/AXL/FBLN1/ITGA2/MYLK/COL5A1/IL1A/TNFRSF12A/F3/IL6/PROCR/C1QTNF1/ANGPTL4/FERMT2/DCBLD2/TIMP1/PDPN/PDGFRA/HPSE/TGFB2/CD9/ANXA5/ADAMDEC1/MMP12/RHOC/FCER1G/S100A10/ANGPTL1/ACVRL1/DDR2/PF4/ITPR3/PDGFA/TSPAN9/SERPING1/PHLDB2/MYL12A/CD59/DST/SYTL4/SDC4/ADTRP/CLEC7A/APOE/MYOF/CDKN1A/HRAS/PLAUR/ANXA2/EPHB2/VEGFB/ITGB3/CD151/PTK2/CHMP2B/TPM1/LCK/TNF/CD109/CLIC1/ENPP4/ITGB1/WNT5A/VKORC1/CORO1B/PDIA3/CHMP5/ILK/THBD/CD40/SLC11A1/SERPINB2/F13A1/TFPI/PLAU/CSRP1"
"GOBP_BLOOD_VESSEL_MORPHOGENESIS","GOBP_BLOOD_VESSEL_MORPHOGENESIS","GOBP_BLOOD_VESSEL_MORPHOGENESIS",419,0.472921121143585,1.7437503270783,7.76695130117107e-09,6.79452899826446e-06,5.96011315637233e-06,2008,"tags=30%, list=14%, signal=27%","SHC1/SRF/COL18A1/PDGFB/SPHK1/ANGPTL6/TMIGD2/TBX20/HAS2/COL8A1/COL4A1/FKBP10/BMPER/VEGFC/THBS2/FGF2/SLIT2/CAV1/CCBE1/FN1/LAMA1/PRKD1/DDAH1/MEIS3/GREM1/CDH13/COL4A2/THY1/LOXL2/ACKR3/PRRX1/FAP/AMOTL2/CDH2/YAP1/SERPINE1/COL3A1/MDK/PARVA/SFRP1/LOX/RHOB/NR2F2/TJP1/ADAMTS1/NPR3/DCN/MYLK/HES1/IL1A/TNFRSF12A/F3/IL6/ECM1/FOXC1/ANGPTL4/ANG/SRPX2/PDGFRA/HPSE/CCN2/TGFB2/CCL2/EMP2/SEMA5A/ADAM12/PTGS2/IL1B/SASH1/ID1/GJC1/SPARC/C3/RRAS/SCG2/HEG1/ACVRL1/ZFPM2/NRP2/CCN3/C5AR1/KLF2/CCL24/PF4/PDGFA/TWIST1/KLF4/RGCC/PXDN/HOXA7/MMP19/ADTRP/APOE/MMP14/IL10/CD93/SH2D2A/NRXN3/HOXA5/FGFR1/GRN/ANXA2/JAM3/EPHB2/PIK3R3/EHD4/C3AR1/VEGFB/ITGB3/NINJ1/PTK2/TGFBI/TNF/TNFSF12/TGM2/ITGB1/DSG2/FZD4/CREB3L1/WNT5A/MYO1E/JUN/CEMIP2/RNH1/BMPR1A/CD40/MMP2"
"GOBP_CELL_SUBSTRATE_ADHESION","GOBP_CELL_SUBSTRATE_ADHESION","GOBP_CELL_SUBSTRATE_ADHESION",263,0.535397755267651,1.90412957446761,9.53772268235805e-09,6.95299983543902e-06,6.0991226626658e-06,1459,"tags=27%, list=10%, signal=25%","SRF/TESK1/GFUS/PKD1/THBS3/PDGFB/TGFB1I1/COL13A1/PLET1/HAS2/ITGBL1/COL8A1/SVEP1/FN1/NTN4/GREM1/PPFIA2/CDH13/THY1/COL1A1/NID2/SERPINE1/COL3A1/MDK/GAS6/AXL/PARVA/SFRP1/FBLN1/ITGA2/COL16A1/ACTN2/ITGA3/TNFRSF12A/ANTXR1/FERMT2/ITGA11/LIMCH1/CTTN/PDPN/HPSE/CCDC80/CCN2/SPRY4/EMP2/MMP12/LAMB1/ADAMTS12/RRAS/S100A10/SGCE/SIGLEC1/ACVRL1/ITGB7/GBP1/PHLDB2/PTPRK/HOXA7/LAMB3/EFNA5/SDC4/MMP14/CORO2B/DOCK1/CD63/CCR7/DAB2/CSF1/SORBS3/ANXA2/JAM3"
"GOBP_TISSUE_MORPHOGENESIS","GOBP_TISSUE_MORPHOGENESIS","GOBP_TISSUE_MORPHOGENESIS",377,0.47879710874821,1.74124617362317,1.78688854197816e-08,1.11655006894464e-05,9.79429885039155e-06,1718,"tags=24%, list=12%, signal=22%","VPS52/SRF/ACTA2/PKD1/TGFB1I1/FOXD1/IRX3/TBX20/DVL1/EPHA7/PLET1/MSX1/NKX3-1/CECR2/PTCH1/DCHS1/FST/CTHRC1/COL4A1/HS3ST3A1/STC1/VEGFC/FGF2/SLIT2/GDNF/LAMA1/EGFR/NTN4/GREM1/SNAI2/YAP1/COL3A1/MDK/SFRP1/DKK1/RHOB/ITGA2/GLI3/EPHA4/ITGA3/NCKAP1/MYLK/COL5A1/HES1/PODXL/FOXC1/FOXQ1/FERMT2/DLG3/INHBA/PDPN/TFAP2C/WNT5B/TGFB2/ALDH1A3/ADAMTS5/GJA1/TNC/MMP12/RHOC/ADAMTS12/PERP/HEG1/SHOX2/ACVRL1/ZFPM2/NRP2/PDGFA/TWIST1/PHLDB2/WNT2B/KLF4/GREB1L/SDC4/MMP14/IL10/TBX18/HOXA5/HOXB7/FGFR1/CSF1/CTSH/AREG/PBX1/SEMA3C/ITGB3/CD151/TPM1/MET/JHY/SPINT1/TNF"
"GOBP_SYNAPTIC_SIGNALING","GOBP_SYNAPTIC_SIGNALING","GOBP_SYNAPTIC_SIGNALING",430,0.459099634912869,1.70085400320382,2.40051905678828e-08,1.31248379429899e-05,1.15130157394648e-05,1722,"tags=23%, list=12%, signal=20%","NCSTN/SNAP47/PDLIM4/VPS18/SRF/TENM2/SLC12A5/SNAP25/SNTG1/TBC1D24/INA/SYT9/AMPH/RIMS1/ADORA3/TACR1/DVL1/EPHA7/ANAPC2/KCNK2/GRIN3B/PLAT/NEFL/SERPINE2/PFN2/RAB3B/GDNF/LYPD6/CLMP/RIMS2/PPFIA2/MME/MAP1B/BDNF/DKK1/CADPS2/GRIK1/TPBG/NLGN1/EPHA4/SHANK1/NQO1/NTNG1/DLG3/GPR176/KCNQ3/FARP1/CCL2/PCLO/GAD1/IL1B/GJC1/SNTA1/FABP5/SGCE/LRRC4C/PTPRS/LY6E/LGMN/SORCS2/ITPR3/LAMA2/PDZD11/PVALB/IGSF21/TYROBP/LILRB2/SV2C/DMD/NRGN/RIMS3/CNIH3/CACNA1A/APOE/SQSTM1/GNA11/SNAPIN/NRXN3/MYOF/GABBR1/RIC3/HRAS/CALM1/S1PR2/CUX2/EPHB2/ACE/CNRIP1/S100B/ABHD6/STX2/MET/GIPC1/NRN1/GABARAP/TNF/PMP22"
"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION",205,0.548480298320482,1.89762098589074,6.14968059813405e-08,2.98874477069315e-05,2.62170593920452e-05,1883,"tags=40%, list=14%, signal=35%","COL18A1/COL13A1/CTSV/MATN2/HAS2/MMP3/COL8A1/COL4A1/FKBP10/THSD4/COL1A2/CAV1/LAMA1/COL6A1/NTN4/GREM1/COL4A2/LOXL2/COL1A1/MMP1/FAP/NID2/CAV2/COL3A1/GAS6/FBLN1/LOX/ITGA2/COL16A1/ADAMTS1/MMP16/COL12A1/COL5A2/PLOD2/COL5A1/IL6/PTX3/FOXC1/ANTXR1/ADAMTS6/PDPN/PDGFRA/HPSE/CCDC80/TGFB2/MMP9/ADAMTS5/ADAMDEC1/CTSK/MMP12/LAMB1/ADAMTS12/COL19A1/DDR2/CST3/PHLDB2/OLFML2B/LAMA2/RGCC/PXDN/LOXL3/CTSS/MMP19/ADTRP/P4HA3/MMP14/LTBP4/SERPINH1/ADAMTSL1/ANXA2/FLRT2/ADAMTS17/DPP4/ITGB3/TGFBI/SPINT1/TNF/NID1/ITGB1/CREB3L1/MYO1E/COLEC12"
"GOBP_HEART_DEVELOPMENT","GOBP_HEART_DEVELOPMENT","GOBP_HEART_DEVELOPMENT",383,0.45831429170496,1.6743340570524,2.18027958531732e-07,8.80596429553331e-05,7.72453008380115e-05,1391,"tags=18%, list=10%, signal=16%","SHC1/PDLIM4/SRF/PKD1/PDGFB/POPDC3/IRX3/OLFM1/TBX20/DVL1/MSC/MSX1/SIK1/NKX3-1/KCNK2/PTCH1/DCHS1/HAS2/FGF2/SLIT2/FN1/EGFR/COL6A1/GREM1/FHOD3/SNAI2/YAP1/COL3A1/UTY/PARVA/DKK1/LOX/GLI3/ADAMTS1/BICC1/ACTN2/NCKAP1/ABCC9/COL5A1/HES1/FOXC1/ADAMTS6/INHBA/PDGFRA/TGFB2/ID3/ADAMTS5/SGCB/GJA1/EMP2/SLIT3/ID1/GJC1/HEG1/SHOX2/ACVRL1/ZFPM2/NRP2/TWIST1/PDLIM1/GREB1L/DZIP1/GNA11/TBX18/CDKN1A/FGFR1/FHL2/SGCG"
"GOBP_CELL_PROJECTION_MORPHOGENESIS","GOBP_CELL_PROJECTION_MORPHOGENESIS","GOBP_CELL_PROJECTION_MORPHOGENESIS",429,0.442715065214194,1.63909643730407,2.21457721195396e-07,8.80596429553331e-05,7.72453008380115e-05,1890,"tags=23%, list=14%, signal=20%","MUL1/SRF/TBC1D24/FOXD1/MYPN/RIMS1/TUBB3/OLFM1/DVL1/EPHA7/EFNA4/ADCY10/CPNE5/ANAPC2/PTCH1/TSKU/MATN2/NEFL/SLIT2/COL25A1/FN1/GDNF/NFASC/NTN4/RIMS2/PPFIA2/THY1/IGF2BP1/MAP1B/ETV1/PRKG1/MDK/BDNF/UCHL1/TPBG/GLI3/CRABP2/CDH4/NLGN1/EPHA4/NCKAP1/ARHGEF28/NDN/SHANK1/TNFRSF12A/NFIB/FAT4/NTNG1/CTTN/PDPN/S100A6/FARP1/TGFB2/PALLD/SPP1/SEMA5A/SLIT3/SCN1B/HECW2/LRRC4C/SHOX2/PTPRS/NRP2/LAMA2/ARPIN/KALRN/ENAH/EFNA5/APOE/NRXN3/NBL1/UGT8/RAPH1/PARD3/SHTN1/ENPP2/KIAA0319/CUX2/APBB1/FLRT2/EPHB2/MAP2/SEMA3C/S100B/PTK2/KIFBP/SDC2/NRN1/PTPRO/CHN1/PLEKHO1/SGK1/ITGB1/SEMA3A/FZD4/WNT5A/ARHGEF40/CORO1B"
"GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE","GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE","GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE",123,0.612096828552892,1.97313293512574,3.19127976906321e-07,0.000116322147582354,0.000102036971563468,1889,"tags=35%, list=14%, signal=30%","SRF/PKD1/FOXD1/COL13A1/TBX20/EPHA7/NKX3-1/PTCH1/DCHS1/COL4A1/HS3ST3A1/FGF2/SLIT2/GDNF/LAMA1/NTN4/GREM1/SNAI2/YAP1/MDK/SFRP1/GLI3/TFAP2C/SHOX2/PDGFA/WNT2B/GREB1L/MMP14/IL10/HOXA5/HOXB7/FGFR1/CSF1/CTSH/AREG/PBX1/SEMA3C/MET/SPINT1/TNF/TGM2/WNT5A/TBX3"
"GOBP_REGULATION_OF_SYSTEM_PROCESS","GOBP_REGULATION_OF_SYSTEM_PROCESS","GOBP_REGULATION_OF_SYSTEM_PROCESS",301,0.474186564273104,1.70505145018355,1.16064838783007e-06,0.00039051354218221,0.000342555738756324,1824,"tags=27%, list=13%, signal=24%","TMIGD3/SRF/CDK18/FKBP1B/PDGFB/SPHK1/TBC1D24/RIMS1/ADORA3/IRX3/TACR1/DVL1/ADCY10/NKX3-1/MYL9/SVEP1/STC1/CAV1/PRKD1/RIMS2/ARHGAP42/PRKG1/GAS6/ITGA2/NPR3/NLGN1/ABCC9/JAM2/SHANK1/ASIC2/C1QTNF1/ERRFI1/CCL3/INHBA/CTTN/TGFB2/SPP1/GJA1/EMP2/SCN1B/GJC1/SNTA1/FABP5/SHOX2/ATP1B1/CCN3/ZFHX2/TNNT1/KLF4/DMD/FBXO32/TWF1/TRPM4/TRPV4/APOE/CORO2B/TBX18/FGFR1/PARD3/SCN4B/CTSC/DAB2/GPR171/CALM1/GAL/S1PR2/CUX2/ACE/RANGRF/GSTO1/HIP1R/S100B/TPM1/TNF/TRPC1/PTPRO/LMCD1/SGK1/ITGB1/HRH1/DSG2/CACNA2D1"
"GOBP_AXON_DEVELOPMENT","GOBP_AXON_DEVELOPMENT","GOBP_AXON_DEVELOPMENT",311,0.475012872092005,1.70133521571239,1.28178002938998e-06,0.000400464703467985,0.000351284827603495,1895,"tags=26%, list=14%, signal=23%","SRF/TBC1D24/FOXD1/MYPN/TRIM32/TUBB3/OLFM1/DVL1/EPHA7/EFNA4/ADCY10/OLIG1/ANAPC2/PTCH1/TSKU/MATN2/NEFL/SLIT2/COL25A1/FN1/GDNF/NFASC/NTN4/THY1/MAP1B/ETV1/PRKG1/BDNF/UCHL1/GLI3/CRABP2/CDH4/EPHA4/ARHGEF28/NDN/TNFRSF12A/NFIB/FAT4/NTNG1/CTTN/S100A6/TGFB2/PALLD/SPP1/SEMA5A/TNC/SLIT3/SCN1B/LRRC4C/SHOX2/PTPRS/NRP2/LAMA2/KLF4/KALRN/ENAH/EFNA5/APOE/NRXN3/RAPH1/PARD3/SHTN1/GRN/KIAA0319/APBB1/FLRT2/EPHB2/MAP2/PTPRF/SEMA3C/S100B/PTK2/KIFBP/PTPRO/CHN1/ITGB1/SEMA3A/WNT5A/ARHGEF40/JUN"
"GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC","GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC","GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC",200,-0.559444317648938,-1.75690955082211,2.2926781247429e-06,0.000668544941175028,0.000586442930855288,1977,"tags=38%, list=14%, signal=33%","HDAC8/ERI2/SMARCA4/SIN3A/RNF2/MTA1/MTF2/JARID2/HMGB1/USP7/UBR5/DNMT3A/L3MBTL1/LBR/MGA/EHMT1/BAP1/H2AX/LMNB2/TNRC18/TASOR2/TDRD9/SMARCA2/ZNF445/UHRF1/L3MBTL2/UHRF2/RIF1/DYRK1A/TRIM28/H2AC20/KMT2D/MBD3/MYC/PIWIL4/H1-2/CBX5/TFDP1/BCORL1/RBM15/SCMH1/BAZ1A/MIS18BP1/SMYD5/CENPV/HDAC4/HELLS/OIP5/TEX15/EZH2/DOT1L/SUV39H2/WT1/H2AC17/LMNB1/H2AC16/H3C4/BRCA1/H2AC11/CHEK1/H2AC12/H2AC7/H3C3/H2AC13/H2AC8/SUV39H1/H3C10/H3C8/BEND3/H2AC21/PRMT5/CBX7/PHF1/CBX4/H3C2"
"GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION","GOBP_DNA_REPLICATION",290,-0.515024743827491,-1.67507331976939,4.06231732973437e-06,0.00111053600001613,0.000974154385979064,1873,"tags=31%, list=13%, signal=27%","UPF1/TYMS/DBF4/POLG2/PRIM1/DUT/RMI1/CCNE1/RFC5/JADE3/NASP/TK1/WEE1/WRN/FANCM/CHAF1B/FAF1/BRCA2/HELB/GINS4/EME1/LIG1/MCM7/RUVBL2/BARD1/MSH2/BAZ1A/RFC3/FEN1/MCM3/XRCC3/JADE1/CHAF1A/DHFR/CDC6/DSCC1/RFWD3/MCM5/CCNA2/MCM4/GEN1/TRAIP/ZRANB3/TIMELESS/DDX11/MCM2/MMS22L/ATAD5/WDHD1/MCM8/POLA1/DACH1/PCLAF/MCM6/CDC7/EXO1/BLM/POLE/DNA2/DBF4B/ORC6/BRCA1/TICRR/CHEK1/ORC1/NFIA/RAD51/POLE2/GINS1/DTL/E2F8/CDC45/POLQ/GINS2/CDT1/MCM10/CDC25A/CHTF18/POLRMT/OOEP/RECQL4/TONSL/NT5M/CTBP1-DT/SETMAR/E4F1/POLL/SHMT1/POLD1"
"GOBP_RENAL_SYSTEM_DEVELOPMENT","GOBP_RENAL_SYSTEM_DEVELOPMENT","GOBP_RENAL_SYSTEM_DEVELOPMENT",202,0.517748966260984,1.79261290096302,4.58616962068144e-06,0.00111443921782559,0.000977578261250517,1532,"tags=27%, list=11%, signal=24%","HYAL2/ACTA2/PKD1/PDGFB/FOXD1/IRX3/EPHA7/WFS1/NKX3-1/PTCH1/DCHS1/HAS2/SERPINB7/COL4A1/HS3ST3A1/BMPER/FGF2/SLIT2/PYGO1/GDNF/GREM1/MME/ASS1/YAP1/SFRP1/GLI3/ADAMTS1/BICC1/EPHA4/ITGA3/HES1/PODXL/FOXC1/ADAMTS6/MAGI2/WWTR1/PDGFRA/TGFB2/MMP9/ID3/PLCE1/ARG2/PDGFA/WNT2B/GREB1L/SDC4/TBX18/HOXB7/FGFR1/CTSH/ACE/KANK2/AKR1B1/PBX1"
"GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING","GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING",280,0.475041250172759,1.69652331439663,4.55581292933074e-06,0.00111443921782559,0.000977578261250517,1867,"tags=25%, list=13%, signal=22%","NCSTN/VPS18/SRF/SNAP25/TBC1D24/INA/RIMS1/ADORA3/TACR1/DVL1/EPHA7/ANAPC2/KCNK2/GRIN3B/PLAT/NEFL/SERPINE2/PFN2/LYPD6/CLMP/RIMS2/PPFIA2/MME/MAP1B/BDNF/DKK1/GRIK1/NLGN1/EPHA4/SHANK1/NTNG1/KCNQ3/CCL2/IL1B/FABP5/LRRC4C/PTPRS/LGMN/SORCS2/ITPR3/LAMA2/IGSF21/TYROBP/LILRB2/SV2C/NRGN/RIMS3/CACNA1A/APOE/SQSTM1/SNAPIN/NRXN3/MYOF/GABBR1/HRAS/CALM1/S1PR2/CUX2/EPHB2/ACE/CNRIP1/S100B/ABHD6/GIPC1/NRN1/TNF/KMO/ITGB1/HRH1/APBA1/WNT5A"
"GOBP_DNA_TEMPLATED_DNA_REPLICATION","GOBP_DNA_TEMPLATED_DNA_REPLICATION","GOBP_DNA_TEMPLATED_DNA_REPLICATION",163,-0.576747235525626,-1.7848108255522,5.40153261939146e-06,0.0012179640357777,0.00106838950506815,2925,"tags=50%, list=21%, signal=40%","DNAJA3/POLN/ORC5/POLD2/TOPBP1/RFC4/MCMBP/PCNA/GINS3/EME2/RFC2/PHIP/SLFN11/FBXO5/PRIM2/RRM1/POLA2/TIPIN/RBBP8/TWNK/UPF1/DBF4/POLG2/PRIM1/CCNE1/RFC5/TK1/WRN/FANCM/BRCA2/HELB/GINS4/EME1/LIG1/MCM7/BARD1/BAZ1A/RFC3/FEN1/MCM3/XRCC3/CDC6/RFWD3/MCM5/MCM4/GEN1/TRAIP/ZRANB3/TIMELESS/DDX11/MCM2/MMS22L/ATAD5/WDHD1/MCM8/POLA1/DACH1/MCM6/CDC7/EXO1/BLM/POLE/DNA2/DBF4B/ORC6/BRCA1/TICRR/ORC1/RAD51/POLE2/GINS1/DTL/E2F8/CDC45/POLQ/CDT1/MCM10/POLRMT/OOEP/TONSL/SETMAR/POLD1"
"GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM","GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM","GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM",318,0.457460269767831,1.64122359348694,5.56910853121946e-06,0.0012179640357777,0.00106838950506815,1816,"tags=25%, list=13%, signal=22%","SRF/PKD1/TGFB1I1/FOXD1/IRX3/TBX20/DVL1/EPHA7/PLET1/NKX3-1/CECR2/PTCH1/DCHS1/FST/CTHRC1/COL4A1/HS3ST3A1/VEGFC/FGF2/SLIT2/GDNF/LAMA1/EGFR/NTN4/GREM1/SNAI2/YAP1/MDK/SFRP1/RHOB/GLI3/EPHA4/NCKAP1/COL5A1/HES1/PODXL/FOXQ1/FERMT2/DLG3/PDPN/TFAP2C/WNT5B/TGFB2/ALDH1A3/GJA1/TNC/MMP12/RHOC/ADAMTS12/PERP/ACVRL1/PDGFA/TWIST1/PHLDB2/WNT2B/KLF4/GREB1L/SDC4/MMP14/IL10/TBX18/HOXA5/HOXB7/FGFR1/CSF1/CTSH/AREG/PBX1/SEMA3C/ITGB3/CD151/MET/JHY/SPINT1/TNF/TGM2/ITGB1/ASTN2"
"GOBP_CELL_MATRIX_ADHESION","GOBP_CELL_MATRIX_ADHESION","GOBP_CELL_MATRIX_ADHESION",177,0.522387904176542,1.77096057005956,7.57678092858931e-06,0.00152073190511269,0.00133397535536201,1459,"tags=27%, list=10%, signal=25%","SRF/GFUS/PKD1/THBS3/COL13A1/PLET1/ITGBL1/SVEP1/FN1/GREM1/PPFIA2/CDH13/THY1/NID2/SERPINE1/COL3A1/SFRP1/ITGA2/COL16A1/ACTN2/ITGA3/FERMT2/ITGA11/LIMCH1/CTTN/HPSE/CCN2/EMP2/MMP12/ADAMTS12/RRAS/S100A10/SGCE/SIGLEC1/ACVRL1/ITGB7/PHLDB2/PTPRK/HOXA7/EFNA5/SDC4/MMP14/CORO2B/CD63/CCR7/CSF1/ANXA2/JAM3"
